value_rank,domain,word,length,google_20k_rank,is_google_20k,dns_status,dns_code,whois_status,checked_at_utc
1678,coated.ai,coated,6,8833,yes,possible,NXDOMAIN,available,2026-05-30T15:48:39.182Z
1912,poorly.ai,poorly,6,10329,yes,possible,NXDOMAIN,available,2026-05-30T15:48:39.182Z
2038,laying.ai,laying,6,11331,yes,possible,NXDOMAIN,available,2026-05-30T15:48:39.182Z
2255,lohan.ai,lohan,5,12924,yes,possible,NXDOMAIN,available,2026-05-30T15:48:39.182Z
2262,wretch.ai,wretch,6,12968,yes,possible,NXDOMAIN,available,2026-05-30T15:48:39.182Z
2357,haired.ai,haired,6,13719,yes,possible,NXDOMAIN,available,2026-05-30T15:48:39.182Z
2486,hooded.ai,hooded,6,14666,yes,possible,NXDOMAIN,available,2026-05-30T15:48:39.182Z
2620,topped.ai,topped,6,15808,yes,possible,NXDOMAIN,available,2026-05-30T15:48:39.182Z
2793,blamed.ai,blamed,6,17295,yes,possible,NXDOMAIN,available,2026-05-30T15:48:39.182Z
2870,fading.ai,fading,6,17876,yes,possible,NXDOMAIN,available,2026-05-30T15:48:39.182Z
2883,tanned.ai,tanned,6,17993,yes,possible,NXDOMAIN,available,2026-05-30T15:48:39.182Z
2893,barred.ai,barred,6,18073,yes,possible,NXDOMAIN,available,2026-05-30T15:48:39.182Z
2894,urging.ai,urging,6,18084,yes,possible,NXDOMAIN,available,2026-05-30T15:48:39.182Z
2924,shalt.ai,shalt,5,18358,yes,possible,NXDOMAIN,available,2026-05-30T15:48:39.182Z
3028,lodged.ai,lodged,6,19291,yes,possible,NXDOMAIN,available,2026-05-30T15:48:39.182Z
3066,rectal.ai,rectal,6,19502,yes,possible,NXDOMAIN,available,2026-05-30T15:48:39.182Z
3072,wigan.ai,wigan,5,19545,yes,possible,NXDOMAIN,available,2026-05-30T15:48:39.182Z
3090,larvae.ai,larvae,6,19732,yes,possible,NXDOMAIN,available,2026-05-30T15:48:39.182Z
18091,pallid.ai,pallid,6,,no,possible,NXDOMAIN,available,2026-05-30T15:48:39.182Z
