domain,name,type,common_rank,first_rank_total,first_total_births,first_male_births,first_female_births,first_recent_2020_births,first_first_year,first_last_year,first_peak_year,first_peak_year_births,first_best_sex,surname_rank_2010,surname_count_2010,surname_prop100k_2010,whois_status,checked_at_utc
contreras.ai,contreras,last,229,,,,,,,,,,,229,130164,44.13,available,2026-05-30T06:44:46.263Z
mejia.ai,mejia,last,300,,,,,,,,,,,300,104057,35.28,available,2026-05-30T06:44:46.263Z
ochoa.ai,ochoa,last,408,,,,,,,,,,,408,78677,26.67,available,2026-05-30T06:44:46.263Z
ibarra.ai,ibarra,last,507,,,,,,,,,,,507,66063,22.4,available,2026-05-30T06:44:46.263Z
orozco.ai,orozco,last,512,,,,,,,,,,,512,65904,22.34,available,2026-05-30T06:44:46.263Z
villarreal.ai,villarreal,last,547,,,,,,,,,,,547,61355,20.8,available,2026-05-30T06:44:46.263Z
valenzuela.ai,valenzuela,last,584,,,,,,,,,,,584,57383,19.45,available,2026-05-30T06:44:46.263Z
yoder.ai,yoder,last,598,,,,,,,,,,,598,56410,19.12,available,2026-05-30T06:44:46.263Z
melendez.ai,melendez,last,603,,,,,,,,,,,603,56230,19.06,available,2026-05-30T06:44:46.263Z
roberson.ai,roberson,first+last,605,71448,13,13,0,0,1991,1996,1991,8,M,605,56180,19.05,available,2026-05-30T06:44:46.263Z
dickerson.ai,dickerson,last,659,,,,,,,,,,,659,51889,17.59,available,2026-05-30T06:44:46.263Z
mathews.ai,mathews,first+last,663,18403,439,439,0,0,1896,2016,2006,17,M,663,51592,17.49,available,2026-05-30T06:44:46.263Z
cisneros.ai,cisneros,last,670,,,,,,,,,,,670,50920,17.26,available,2026-05-30T06:44:46.263Z
harrell.ai,harrell,first+last,671,5937,2635,2635,0,0,1902,2016,1947,56,M,671,50837,17.23,available,2026-05-30T06:44:46.263Z
arellano.ai,arellano,last,687,,,,,,,,,,,687,50104,16.99,available,2026-05-30T06:44:46.263Z
mcclain.ai,mcclain,first+last,722,18024,455,405,50,25,1918,2020,2000,19,M,722,48165,16.33,available,2026-05-30T06:44:46.263Z
huerta.ai,huerta,last,735,,,,,,,,,,,735,47455,16.09,available,2026-05-30T06:44:46.263Z
murillo.ai,murillo,last,757,,,,,,,,,,,757,45558,15.44,available,2026-05-30T06:44:46.263Z
barajas.ai,barajas,last,763,,,,,,,,,,,763,45153,15.31,available,2026-05-30T06:44:46.263Z
mcintyre.ai,mcintyre,last,786,,,,,,,,,,,786,43842,14.86,available,2026-05-30T06:44:46.263Z
palacios.ai,palacios,last,789,,,,,,,,,,,789,43798,14.85,available,2026-05-30T06:44:46.263Z
cuevas.ai,cuevas,last,790,,,,,,,,,,,790,43701,14.81,available,2026-05-30T06:44:46.263Z
enriquez.ai,enriquez,first+last,837,56305,32,32,0,0,1978,1995,1978,7,M,837,41271,13.99,available,2026-05-30T06:44:46.263Z
quintero.ai,quintero,first+last,839,81277,7,7,0,0,1991,1991,1991,7,M,839,41158,13.95,available,2026-05-30T06:44:46.263Z
