domain,name,type,common_rank,first_rank_total,first_total_births,first_male_births,first_female_births,first_recent_2020_births,first_first_year,first_last_year,first_peak_year,first_peak_year_births,first_best_sex,surname_rank_2010,surname_count_2010,surname_prop100k_2010,rdap_status,checked_at_utc
jaslynn.com,jaslynn,first,7021,7021,2034,0,2034,63,1978,2020,2010,145,F,,,,available,2026-05-30T06:09:37.115Z
kamarion.com,kamarion,first,7048,7048,2019,2013,6,93,1998,2020,2009,170,M,,,,available,2026-05-30T06:09:37.115Z
jayshawn.com,jayshawn,first,8064,8064,1642,1642,0,32,1988,2020,2010,114,M,,,,available,2026-05-30T06:09:37.115Z
jalayah.com,jalayah,first,8289,8289,1563,0,1563,137,1994,2020,2019,138,F,,,,available,2026-05-30T06:09:37.115Z
kambree.com,kambree,first,8494,8494,1504,0,1504,71,1988,2020,2013,127,F,,,,available,2026-05-30T06:09:37.115Z
rashonda.com,rashonda,first,8517,8517,1499,0,1499,0,1968,2006,1988,87,F,,,,available,2026-05-30T06:09:37.115Z
jadarius.com,jadarius,first,8871,8871,1410,1410,0,17,1986,2020,2001,84,M,,,,available,2026-05-30T06:09:37.115Z
jakiyah.com,jakiyah,first,9121,9121,1349,0,1349,33,1992,2020,2008,93,F,,,,available,2026-05-30T06:09:37.115Z
tynesha.com,tynesha,first,9262,9262,1317,0,1317,0,1973,2012,1993,71,F,,,,available,2026-05-30T06:09:37.115Z
anijah.com,anijah,first,9263,9263,1316,0,1316,18,1994,2020,2010,104,F,,,,available,2026-05-30T06:09:37.115Z
delorise.com,delorise,first,9285,9285,1311,0,1311,0,1919,1979,1948,55,F,,,,available,2026-05-30T06:09:37.115Z
christpher.com,christpher,first,9309,9309,1304,1304,0,0,1951,2009,1986,71,M,,,,available,2026-05-30T06:09:37.115Z
dayshawn.com,dayshawn,first,9360,9360,1294,1289,5,13,1980,2020,2005,71,M,,,,available,2026-05-30T06:09:37.115Z
martavious.com,martavious,first,9482,9482,1265,1265,0,17,1983,2020,1998,64,M,,,,available,2026-05-30T06:09:37.115Z
delories.com,delories,first,9557,9557,1251,0,1251,0,1915,1971,1941,49,F,,,,available,2026-05-30T06:09:37.115Z
jayveon.com,jayveon,first,9628,9628,1237,1237,0,41,1993,2020,2014,108,M,,,,available,2026-05-30T06:09:37.115Z
jashaun.com,jashaun,first,9757,9757,1213,1213,0,12,1984,2020,2005,94,M,,,,available,2026-05-30T06:09:37.115Z
kenzlee.com,kenzlee,first,9774,9774,1210,0,1210,120,2001,2020,2018,134,F,,,,available,2026-05-30T06:09:37.115Z
maudine.com,maudine,first,10070,10070,1153,0,1153,0,1896,1962,1925,48,F,,,,available,2026-05-30T06:09:37.115Z
kynnedi.com,kynnedi,first,10263,10263,1124,0,1124,69,1996,2020,2019,107,F,,,,available,2026-05-30T06:09:37.115Z
keontae.com,keontae,first,10331,10331,1111,1084,27,28,1987,2020,2000,85,M,,,,available,2026-05-30T06:09:37.115Z
christoher.com,christoher,first,10454,10454,1090,1090,0,0,1966,2007,1984,62,M,,,,available,2026-05-30T06:09:37.115Z
yatziri.com,yatziri,first,10575,10575,1073,0,1073,65,1998,2020,2017,106,F,,,,available,2026-05-30T06:09:37.115Z
josiephine.com,josiephine,first,10652,10652,1061,0,1061,0,1880,1964,1927,37,F,,,,available,2026-05-30T06:09:37.115Z
binyomin.com,binyomin,first,10704,10704,1053,1053,0,30,1973,2020,2019,51,M,,,,available,2026-05-30T06:09:37.115Z
chirstopher.com,chirstopher,first,10721,10721,1051,1051,0,0,1960,2008,1981,57,M,,,,available,2026-05-30T06:09:37.115Z
lawernce.com,lawernce,first+last,10726,10726,1050,1050,0,0,1912,1989,1956,35,M,150452,109,0.04,available,2026-05-30T06:09:37.115Z
antwoine.com,antwoine,first,10745,10745,1045,1045,0,9,1958,2020,1984,36,M,,,,available,2026-05-30T06:09:37.115Z
jakyra.com,jakyra,first,10821,10821,1033,0,1033,15,1990,2020,2005,79,F,,,,available,2026-05-30T06:09:37.115Z
joretta.com,joretta,first,10822,10822,1033,0,1033,0,1930,1972,1931,194,F,,,,available,2026-05-30T06:09:37.115Z
jakeem.com,jakeem,first,10856,10856,1029,1029,0,33,1980,2020,2002,59,M,,,,available,2026-05-30T06:09:37.115Z
lashundra.com,lashundra,first,11166,11166,983,0,983,0,1969,2007,1981,66,F,,,,available,2026-05-30T06:09:37.115Z
kamauri.com,kamauri,first,11268,11268,968,671,297,35,1999,2020,2009,88,M,,,,available,2026-05-30T06:09:37.115Z
yulonda.com,yulonda,first,11320,11320,962,0,962,0,1949,1989,1971,71,F,,,,available,2026-05-30T06:09:37.115Z
makenzee.com,makenzee,first,11365,11365,956,0,956,10,1992,2020,2012,77,F,,,,available,2026-05-30T06:09:37.115Z
montavious.com,montavious,first,11374,11374,955,955,0,20,1980,2020,2000,46,M,,,,available,2026-05-30T06:09:37.115Z
cordarius.com,cordarius,first,11395,11395,952,952,0,9,1986,2020,1992,58,M,,,,available,2026-05-30T06:09:37.115Z
jayonna.com,jayonna,first,11495,11495,938,0,938,19,1992,2020,2009,73,F,,,,available,2026-05-30T06:09:37.115Z
tameeka.com,tameeka,first,11503,11503,938,0,938,0,1969,1998,1979,73,F,,,,available,2026-05-30T06:09:37.115Z
michaeline.com,michaeline,first,11513,11513,936,0,936,0,1913,1996,1947,43,F,,,,available,2026-05-30T06:09:37.115Z
shyheim.com,shyheim,first,11566,11566,929,929,0,15,1994,2020,1994,168,M,,,,available,2026-05-30T06:09:37.115Z
myeshia.com,myeshia,first,11724,11724,910,0,910,0,1972,2007,1991,49,F,,,,available,2026-05-30T06:09:37.115Z
emmersyn.com,emmersyn,first,11799,11799,901,0,901,76,2002,2020,2019,97,F,,,,available,2026-05-30T06:09:37.115Z
zykeria.com,zykeria,first,11852,11852,896,0,896,5,1996,2020,2006,74,F,,,,available,2026-05-30T06:09:37.115Z
nathaneal.com,nathaneal,first,11883,11883,892,892,0,6,1972,2020,1999,39,M,,,,available,2026-05-30T06:09:37.115Z
jamarian.com,jamarian,first,11890,11890,891,885,6,8,1983,2020,2007,67,M,,,,available,2026-05-30T06:09:37.115Z
yocelyn.com,yocelyn,first,11953,11953,884,0,884,8,1987,2020,2007,88,F,,,,available,2026-05-30T06:09:37.115Z
jourdyn.com,jourdyn,first,12156,12156,860,131,729,21,1989,2020,2018,44,F,,,,available,2026-05-30T06:09:37.115Z
javonna.com,javonna,first,12259,12259,849,0,849,9,1965,2020,1990,41,F,,,,available,2026-05-30T06:09:37.115Z
jawaun.com,jawaun,first,12322,12322,842,842,0,9,1975,2020,1997,78,M,,,,available,2026-05-30T06:09:37.115Z
lakendrick.com,lakendrick,first,12323,12323,842,842,0,8,1973,2020,1991,37,M,,,,available,2026-05-30T06:09:37.115Z
tasheena.com,tasheena,first,12359,12359,838,0,838,0,1973,2013,1985,61,F,,,,available,2026-05-30T06:09:37.115Z
jaquarius.com,jaquarius,first,12365,12365,837,837,0,14,1990,2020,2001,61,M,,,,available,2026-05-30T06:09:37.115Z
jerrald.com,jerrald,first,12382,12382,835,835,0,0,1918,2009,1962,24,M,,,,available,2026-05-30T06:09:37.115Z
trequan.com,trequan,first,12420,12420,831,831,0,11,1991,2020,1999,72,M,,,,available,2026-05-30T06:09:37.115Z
kemarion.com,kemarion,first,12448,12448,828,828,0,33,2002,2020,2008,90,M,,,,available,2026-05-30T06:09:37.115Z
treshaun.com,treshaun,first,12460,12460,827,822,5,16,1992,2020,2006,63,M,,,,available,2026-05-30T06:09:37.115Z
jasmaine.com,jasmaine,first,12485,12485,824,6,818,0,1979,2010,1991,68,F,,,,available,2026-05-30T06:09:37.115Z
jaleigh.com,jaleigh,first,12493,12493,823,0,823,33,1993,2020,2009,56,F,,,,available,2026-05-30T06:09:37.115Z
janylah.com,janylah,first,12630,12630,808,0,808,84,2002,2020,2019,91,F,,,,available,2026-05-30T06:09:37.115Z
ardyth.com,ardyth,first,12682,12682,802,0,802,0,1912,1968,1935,35,F,,,,available,2026-05-30T06:09:37.115Z
jaquavious.com,jaquavious,first,12711,12711,800,800,0,10,1992,2020,2004,60,M,,,,available,2026-05-30T06:09:37.115Z
tiyanna.com,tiyanna,first,12772,12772,795,0,795,0,1979,2019,2005,43,F,,,,available,2026-05-30T06:09:37.115Z
johnthan.com,johnthan,first,12799,12799,792,792,0,0,1954,2013,1991,36,M,,,,available,2026-05-30T06:09:37.115Z
