value_rank,domain,word,length,google_20k_rank
1,of.ai,of,2,2
2,to.ai,to,2,4
3,in.ai,in,2,6
4,is.ai,is,2,8
5,on.ai,on,2,9
6,by.ai,by,2,11
7,it.ai,it,2,16
8,or.ai,or,2,18
9,be.ai,be,2,19
10,at.ai,at,2,22
11,as.ai,as,2,23
12,an.ai,an,2,29
13,we.ai,we,2,31
14,us.ai,us,2,35
15,if.ai,if,2,37
16,my.ai,my,2,39
17,do.ai,do,2,47
18,no.ai,no,2,48
19,he.ai,he,2,53
20,up.ai,up,2,54
21,so.ai,so,2,66
22,am.ai,am,2,84
23,me.ai,me,2,89
24,re.ai,re,2,120
25,go.ai,go,2,123
26,de.ai,de,2,187
27,la.ai,la,2,493
28,ca.ai,ca,2,595
29,al.ai,al,2,620
30,id.ai,id,2,654
31,st.ai,st,2,788
32,en.ai,en,2,862
33,oh.ai,oh,2,995
34,ad.ai,ad,2,1029
35,hi.ai,hi,2,1186
36,pa.ai,pa,2,1298
37,ie.ai,ie,2,1375
38,el.ai,el,2,1377
39,ma.ai,ma,2,1388
40,un.ai,un,2,1689
41,mi.ai,mi,2,1709
42,th.ai,th,2,1759
43,na.ai,na,2,1833
44,os.ai,os,2,1844
45,ex.ai,ex,2,1936
46,fi.ai,fi,2,1957
47,po.ai,po,2,1997
48,se.ai,se,2,2050
49,di.ai,di,2,2089
50,ga.ai,ga,2,2120
51,ar.ai,ar,2,2182
52,mo.ai,mo,2,2189
53,sa.ai,sa,2,2195
54,eu.ai,eu,2,2280
55,wa.ai,wa,2,2307
56,wi.ai,wi,2,2343
57,da.ai,da,2,2393
58,em.ai,em,2,2418
59,ne.ai,ne,2,2476
60,es.ai,es,2,2554
61,aa.ai,aa,2,2602
62,ce.ai,ce,2,3100
63,ha.ai,ha,2,3491
64,ea.ai,ea,2,3512
65,lo.ai,lo,2,3705
66,ut.ai,ut,2,3814
67,si.ai,si,2,3835
68,ba.ai,ba,2,3998
69,er.ai,er,2,4126
70,li.ai,li,2,4388
71,ya.ai,ya,2,4411
72,te.ai,te,2,4545
73,ra.ai,ra,2,4620
74,ak.ai,ak,2,4943
75,fe.ai,fe,2,4944
76,ah.ai,ah,2,4962
77,ta.ai,ta,2,5092
78,ho.ai,ho,2,5240
79,sh.ai,sh,2,5250
80,ae.ai,ae,2,5254
81,pi.ai,pi,2,5315
82,ai.ai,ai,2,5320
83,yr.ai,yr,2,5351
84,ge.ai,ge,2,5508
85,tu.ai,tu,2,5659
86,ti.ai,ti,2,6040
87,ni.ai,ni,2,6147
88,um.ai,um,2,6189
89,ye.ai,ye,2,6194
90,yo.ai,yo,2,6270
91,fa.ai,fa,2,6548
92,jo.ai,jo,2,6763
93,yn.ai,yn,2,6865
94,oe.ai,oe,2,7057
95,wy.ai,wy,2,7100
96,ur.ai,ur,2,7327
97,nu.ai,nu,2,7528
98,xi.ai,xi,2,7567
99,za.ai,za,2,7580
100,om.ai,om,2,7793
101,ka.ai,ka,2,8217
102,eh.ai,eh,2,8287
103,bo.ai,bo,2,8687
104,fu.ai,fu,2,8864
105,io.ai,io,2,9022
106,mu.ai,mu,2,9065
107,ko.ai,ko,2,9241
108,aw.ai,aw,2,9539
109,bu.ai,bu,2,10251
110,od.ai,od,2,10877
111,ax.ai,ax,2,12163
112,ug.ai,ug,2,12491
113,ay.ai,ay,2,12879
114,wo.ai,wo,2,12972
115,pu.ai,pu,2,13211
116,ly.ai,ly,2,13867
117,ow.ai,ow,2,15823
118,ox.ai,ox,2,16321
119,ey.ai,ey,2,
120,ym.ai,ym,2,
121,zo.ai,zo,2,
122,the.ai,the,3,1
123,and.ai,and,3,3
124,for.ai,for,3,7
125,you.ai,you,3,15
126,not.ai,not,3,17
127,are.ai,are,3,20
128,all.ai,all,3,25
129,new.ai,new,3,27
130,was.ai,was,3,30
131,can.ai,can,3,34
132,but.ai,but,3,43
133,our.ai,our,3,44
134,one.ai,one,3,45
135,may.ai,may,3,55
136,out.ai,out,3,60
137,use.ai,use,3,61
138,any.ai,any,3,62
139,see.ai,see,3,64
140,his.ai,his,3,67
141,who.ai,who,3,72
142,web.ai,web,3,73
143,now.ai,now,3,75
