value_rank,domain,word,length,google_20k_rank,dns_status,dns_code,whois_status,checked_at_utc
2574,ague.ai,ague,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
2919,byre.ai,byre,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
3412,gaol.ai,gaol,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
5305,uvea.ai,uvea,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
4973,spiv.ai,spiv,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
4440,pfui.ai,pfui,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
4477,pish.ai,pish,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
5494,wuss.ai,wuss,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
5441,whup.ai,whup,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
5486,wrig.ai,wrig,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
5252,tway.ai,tway,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
4916,snee.ai,snee,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
4449,phut.ai,phut,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
2964,chaw.ai,chaw,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
2984,clag.ai,clag,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
2923,cack.ai,cack,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
3452,gerb.ai,gerb,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
3561,gyle.ai,gyle,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
3569,gyve.ai,gyve,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
3740,jarg.ai,jarg,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
3840,khar.ai,khar,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
3896,koph.ai,koph,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
4046,lurg.ai,lurg,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
4197,mump.ai,mump,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
4368,oyer.ai,oyer,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
4484,pize.ai,pize,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
4485,plak.ai,plak,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
4695,roue.ai,roue,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
5005,suer.ai,suer,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
5090,tawn.ai,tawn,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
5400,wede.ai,wede,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
5421,whan.ai,whan,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
5423,whar.ai,whar,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
5498,wyke.ai,wyke,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
5572,yock.ai,yock,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
5574,yogh.ai,yogh,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
5609,zimb.ai,zimb,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
2747,bawd.ai,bawd,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
2749,bawn.ai,bawn,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
2880,brei.ai,brei,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
3365,frae.ai,frae,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
3398,gaen.ai,gaen,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
3399,gaet.ai,gaet,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
3435,gawn.ai,gawn,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
3571,haaf.ai,haaf,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
3574,hadj.ai,hadj,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
3700,ilka.ai,ilka,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
3745,jauk.ai,jauk,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
3747,jaup.ai,jaup,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
3839,kexy.ai,kexy,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
4274,nizy.ai,nizy,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
4294,oary.ai,oary,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
4405,pavy.ai,pavy,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
4406,pawk.ai,pawk,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
4409,peag.ai,peag,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
4489,plew.ai,plew,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
4955,sots.ai,sots,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
4969,spet.ai,spet,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
4972,spig.ai,spig,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
4977,spug.ai,spug,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
4981,staw.ai,staw,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
4987,stid.ai,stid,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
5002,stut.ai,stut,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
5052,taen.ai,taen,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
